issue_month,loan_amnt
2007-06,91850.0
2007-07,348325.0
2007-08,515300.0
2007-09,372950.0
2007-10,753225.0
2007-11,1008650.0
2007-12,1887175.0
2008-01,2926000.0
2008-02,2959225.0
2008-03,4150050.0
2008-04,2433875.0
2008-05,628900.0
2008-06,660175.0
2008-07,856475.0
2008-08,592450.0
2008-09,317675.0
2008-10,962550.0
2008-11,2064900.0
2008-12,2566975.0
2009-01,2470125.0
2009-02,2714925.0
2009-03,3061300.0
2009-04,3079475.0
2009-05,3443300.0
2009-06,3592300.0
2009-07,3876150.0
2009-08,4318650.0
2009-09,5107225.0
2009-10,6289450.0
2009-11,6848875.0
2009-12,7126475.0
2010-01,7385950.0
2010-02,7460000.0
2010-03,8664750.0
2010-04,9510575.0
2010-05,10608150.0
2010-06,11169550.0
2010-07,11936500.0
2010-08,12101875.0
2010-09,12252600.0
2010-10,13132125.0
2010-11,13481475.0
2010-12,14289000.0
2011-01,14824575.0
2011-02,14601275.0
2011-03,16567325.0
2011-04,17542075.0
2011-05,19327950.0
2011-06,20940200.0
2011-07,21337600.0
2011-08,23247525.0
2011-09,25837650.0
2011-10,27482550.0
2011-11,28332600.0
2011-12,31642500.0
2012-01,34220475.0
2012-02,36058175.0
2012-03,39536300.0
2012-04,42051125.0
2012-05,45090825.0
2012-06,50224275.0
2012-07,60294525.0
2012-08,70078650.0
2012-09,77027750.0
2012-10,82042125.0
2012-11,87696350.0
2012-12,94090450.0
2013-01,105074375.0
2013-02,120171375.0
2013-03,127643500.0
2013-04,140125775.0
2013-05,148036475.0
2013-06,158063375.0
2013-07,170776825.0
2013-08,180032675.0
2013-09,187911125.0
2013-10,204578000.0
2013-11,215410600.0
2013-12,224165125.0
2014-01,232715325.0
2014-02,230086925.0
2014-03,245762800.0
2014-04,281179575.0
2014-05,280661600.0
2014-06,255898875.0
2014-07,433044725.0
2014-08,281426975.0
2014-09,159444175.0
2014-10,571750975.0
2014-11,373466650.0
2014-12,158391575.0
2015-01,533132575.0
2015-02,366908525.0
2015-03,390003275.0
2015-04,539401075.0
2015-05,483189475.0
2015-06,429777175.0
2015-07,696238600.0
2015-08,555331400.0
2015-09,450246800.0
2015-10,738221400.0
2015-11,567247325.0
2015-12,667882550.0
